id,dbn,name,num_test_takers,reading_avg,math_avg,writing_score
308,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79.0,418.0,441.0,414.0
309,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63.0,388.0,382.0,373.0
310,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48.0,385.0,393.0,373.0
311,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16.0,372.0,356.0,335.0
312,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165.0,476.0,481.0,479.0
313,17K600,CLARA BARTON HIGH SCHOOL,259.0,425.0,413.0,413.0
314,17K625,PAUL ROBESON HIGH SCHOOL,53.0,365.0,363.0,355.0
315,17K751,ACADEMY FOR HEALTH CAREERS,,,,
316,18K563,IT TAKES A VILLAGE ACADEMY,56.0,313.0,320.0,330.0
317,18K566,BROOKLYN GENERATION SCHOOL,29.0,374.0,377.0,394.0
318,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54.0,383.0,358.0,377.0
319,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43.0,368.0,378.0,346.0
320,18K576,VICTORY COLLEGIATE HIGH SCHOOL,63.0,387.0,377.0,379.0
321,18K578,BROOKLYN BRIDGE ACADEMY,17.0,384.0,362.0,351.0
322,18K589,ARTS & MEDIA PREPARATORY ACADEMY,48.0,361.0,360.0,359.0
323,18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37.0,404.0,393.0,386.0
324,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33.0,393.0,395.0,381.0
325,18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75.0,386.0,380.0,393.0
326,18K635,OLYMPUS ACADEMY,7.0,400.0,370.0,370.0
327,18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35.0,363.0,381.0,367.0
328,18K642,URBAN ACTION ACADEMY,40.0,376.0,385.0,374.0
329,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12.0,410.0,403.0,378.0
330,19K409,EAST NEW YORK FAMILY ACADEMY,54.0,416.0,432.0,394.0
331,19K420,FRANKLIN K. LANE HIGH SCHOOL,,,,
332,19K431,THOMAS JEFFERSON YABC,,,,
333,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37.0,341.0,349.0,333.0
334,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47.0,363.0,349.0,342.0
335,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61.0,380.0,386.0,383.0
336,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68.0,371.0,365.0,370.0
337,19K583,MULTICULTURAL HIGH SCHOOL,29.0,279.0,322.0,286.0
338,19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182.0,395.0,418.0,380.0
339,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60.0,371.0,371.0,354.0
340,19K639,BROOKLYN LAB SCHOOL,57.0,360.0,385.0,363.0
341,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51.0,376.0,385.0,368.0
342,19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74.0,370.0,369.0,363.0
343,19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38.0,383.0,400.0,374.0
344,20K445,NEW UTRECHT HIGH SCHOOL,456.0,402.0,471.0,399.0
345,20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238.0,425.0,474.0,424.0
346,20K490,FORT HAMILTON HIGH SCHOOL,694.0,417.0,478.0,411.0
347,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385.0,383.0,486.0,375.0
348,20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,,,,
349,20K658,FRANKLIN DELANO ROOSEVELT YABC,18.0,338.0,477.0,316.0
350,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54.0,326.0,386.0,314.0
351,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54.0,402.0,427.0,408.0
352,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39.0,388.0,398.0,378.0
353,21K410,ABRAHAM LINCOLN HIGH SCHOOL,475.0,396.0,437.0,393.0
354,21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,,,,
355,21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,,,,
